mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,param_svm__kernel,param_svm__probability,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2098881403605143,0.04351238354387703,0.03786309560139974,0.0073050347305437,0.1,scale,linear,True,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__probability': True}",0.4166666666666667,0.6106870229007634,0.4050632911392405,0.47747232690222347,0.09431605025443324,13
0.6416505177815756,0.08122012719972287,0.1476895014444987,0.028437729745047876,0.1,scale,rbf,True,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__probability': True}",0.2,0.22535211267605634,0.3855421686746988,0.27029809378358505,0.08214450682553821,21
0.3566799958546956,0.019240217671364492,0.052330732345581055,0.014274212111248158,0.1,scale,poly,True,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__probability': True}",0.04878048780487805,0.01694915254237288,0.016666666666666666,0.027465435671305865,0.01507245910394559,23
0.2178948720296224,0.03723168226277107,0.035593112309773765,0.006236530528245423,0.1,auto,linear,True,"{'svm__C': 0.1, 'svm__gamma': 'auto', 'svm__kernel': 'linear', 'svm__probability': True}",0.4166666666666667,0.6106870229007634,0.4050632911392405,0.47747232690222347,0.09431605025443324,13
0.6142019430796305,0.15557087607332643,0.1193252404530843,0.016694070298312474,0.1,auto,rbf,True,"{'svm__C': 0.1, 'svm__gamma': 'auto', 'svm__kernel': 'rbf', 'svm__probability': True}",0.2,0.22535211267605634,0.3855421686746988,0.27029809378358505,0.08214450682553821,21
0.40720129013061523,0.10428744225657621,0.048659165700276695,0.00209543406151202,0.1,auto,poly,True,"{'svm__C': 0.1, 'svm__gamma': 'auto', 'svm__kernel': 'poly', 'svm__probability': True}",0.04878048780487805,0.01694915254237288,0.016666666666666666,0.027465435671305865,0.01507245910394559,23
0.26077723503112793,0.04915658987336547,0.029184420903523762,0.009366694664695249,1.0,scale,linear,True,"{'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__probability': True}",0.7391304347826086,0.5092592592592593,0.4279835390946502,0.5587910777121727,0.13176531777748549,1
0.3570245107014974,0.04033565877187936,0.08407839139302571,0.012738162907322893,1.0,scale,rbf,True,"{'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__probability': True}",0.5294117647058824,0.676923076923077,0.4696969696969697,0.5586772704419763,0.08709388516045405,7
0.3722485701243083,0.015420833157109718,0.05533162752787272,0.01085694626344998,1.0,scale,poly,True,"{'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__probability': True}",0.35802469135802467,0.704,0.0,0.3540082304526749,0.2874208284828515,19
0.2887776692708333,0.058404093202043476,0.042150020599365234,0.012411733967557325,1.0,auto,linear,True,"{'svm__C': 1, 'svm__gamma': 'auto', 'svm__kernel': 'linear', 'svm__probability': True}",0.7391304347826086,0.5092592592592593,0.4279835390946502,0.5587910777121727,0.13176531777748549,1
0.40778112411499023,0.048246529887642574,0.08056227366129558,0.006867612111917874,1.0,auto,rbf,True,"{'svm__C': 1, 'svm__gamma': 'auto', 'svm__kernel': 'rbf', 'svm__probability': True}",0.5294117647058824,0.676923076923077,0.4696969696969697,0.5586772704419763,0.08709388516045405,7
0.31037576993306476,0.024147144277020013,0.059082349141438804,0.021997795920457714,1.0,auto,poly,True,"{'svm__C': 1, 'svm__gamma': 'auto', 'svm__kernel': 'poly', 'svm__probability': True}",0.35802469135802467,0.704,0.0,0.3540082304526749,0.2874208284828515,19
0.25315554936726886,0.06484114607309177,0.027325789133707683,0.0074388137757947104,10.0,scale,linear,True,"{'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__probability': True}",0.7391304347826086,0.5092592592592593,0.4279835390946502,0.5587910777121727,0.13176531777748549,1
0.38814783096313477,0.03865205946921261,0.059142510096232094,0.000760425367526215,10.0,scale,rbf,True,"{'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__probability': True}",0.4897959183673469,0.6891385767790262,0.48091603053435117,0.5532835085602414,0.09613241830076419,11
0.22932966550191244,0.035669345068678575,0.032520691553751625,0.005352938952872427,10.0,scale,poly,True,"{'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__probability': True}",0.27450980392156865,0.6877470355731226,0.2684563758389262,0.4102377384445391,0.19624426699479783,15
0.2817853291829427,0.06474518692909702,0.030837297439575195,0.008107978317076235,10.0,auto,linear,True,"{'svm__C': 10, 'svm__gamma': 'auto', 'svm__kernel': 'linear', 'svm__probability': True}",0.7391304347826086,0.5092592592592593,0.4279835390946502,0.5587910777121727,0.13176531777748549,1
0.319716215133667,0.02229452036886601,0.06746045748392741,0.0014638550027945777,10.0,auto,rbf,True,"{'svm__C': 10, 'svm__gamma': 'auto', 'svm__kernel': 'rbf', 'svm__probability': True}",0.4897959183673469,0.6891385767790262,0.48091603053435117,0.5532835085602414,0.09613241830076419,11
0.26290369033813477,0.0296312840891883,0.04122296969095866,0.01182371829895527,10.0,auto,poly,True,"{'svm__C': 10, 'svm__gamma': 'auto', 'svm__kernel': 'poly', 'svm__probability': True}",0.27450980392156865,0.6877470355731226,0.2684563758389262,0.4102377384445391,0.19624426699479783,15
